# Residuals   
# Time        	p             	Ux            	Uy            	k             	omega         	ReThetat      	gammaInt      
122           	2.658631e-02	3.080523e-03	3.901752e-03	5.129280e-03	5.113222e-03	4.333129e-03	2.580014e-03
123           	2.815694e-02	3.052425e-03	3.919895e-03	5.075402e-03	5.059830e-03	4.295797e-03	2.574614e-03
124           	2.859469e-02	3.041557e-03	3.949308e-03	5.022470e-03	5.007397e-03	4.257598e-03	2.575233e-03
125           	3.095105e-02	3.030048e-03	3.970833e-03	4.970472e-03	4.955903e-03	4.218288e-03	2.555671e-03
126           	3.283954e-02	3.033491e-03	4.039308e-03	4.919382e-03	4.905322e-03	4.178480e-03	2.543803e-03
127           	3.245680e-02	3.040276e-03	4.118242e-03	4.869184e-03	4.855631e-03	4.136972e-03	2.561369e-03
128           	3.438625e-02	3.063425e-03	4.245649e-03	4.819845e-03	4.806804e-03	4.094314e-03	2.530859e-03
129           	3.748102e-02	3.076167e-03	4.377690e-03	4.771354e-03	4.758821e-03	4.050327e-03	2.552612e-03
130           	3.860626e-02	3.088427e-03	4.513440e-03	4.723694e-03	4.711661e-03	4.005524e-03	2.544845e-03
131           	3.992676e-02	3.114145e-03	4.678075e-03	4.676835e-03	4.665306e-03	3.958795e-03	2.546223e-03
132           	4.090506e-02	3.126766e-03	4.865268e-03	4.630755e-03	4.619734e-03	3.910766e-03	2.549287e-03
133           	4.275764e-02	3.146364e-03	5.085398e-03	4.585412e-03	4.574925e-03	3.862563e-03	2.560682e-03
134           	4.298708e-02	3.167596e-03	5.311427e-03	4.540788e-03	4.530861e-03	3.814666e-03	2.545276e-03
135           	4.520102e-02	3.202092e-03	5.551379e-03	4.496898e-03	4.487525e-03	3.769611e-03	2.532279e-03
136           	4.402589e-02	3.216860e-03	5.716792e-03	4.453746e-03	4.444889e-03	3.726292e-03	2.560757e-03
137           	4.219920e-02	3.226856e-03	5.834083e-03	4.411324e-03	4.402931e-03	3.685191e-03	2.510646e-03
138           	4.665997e-02	3.219391e-03	6.142597e-03	4.369610e-03	4.361643e-03	3.646699e-03	2.462964e-03
139           	4.514469e-02	3.219445e-03	6.265337e-03	4.328583e-03	4.321028e-03	3.609912e-03	2.416825e-03
140           	4.622739e-02	3.199880e-03	6.515143e-03	4.288231e-03	4.281071e-03	3.575536e-03	2.380915e-03
141           	4.641044e-02	3.166459e-03	6.698748e-03	4.248546e-03	4.241756e-03	3.541356e-03	2.333839e-03
142           	4.519187e-02	3.154644e-03	6.955606e-03	4.209519e-03	4.203066e-03	3.508934e-03	2.305048e-03
143           	4.398233e-02	3.149714e-03	7.237401e-03	4.171131e-03	4.164982e-03	3.478256e-03	2.281017e-03
144           	4.402010e-02	3.152908e-03	7.478730e-03	4.133368e-03	4.127478e-03	3.449715e-03	2.262662e-03
145           	4.478404e-02	3.143027e-03	7.652494e-03	4.096199e-03	4.090555e-03	3.422600e-03	2.254040e-03
146           	4.704999e-02	3.149872e-03	7.819163e-03	4.059606e-03	4.054208e-03	3.396854e-03	2.239428e-03
147           	4.635704e-02	3.124999e-03	7.796251e-03	4.023594e-03	4.018427e-03	3.370988e-03	2.227859e-03
148           	4.737561e-02	3.099434e-03	7.638639e-03	3.988132e-03	3.983201e-03	3.345790e-03	2.223336e-03
149           	4.845179e-02	3.078879e-03	7.403457e-03	3.953212e-03	3.948520e-03	3.319835e-03	2.228792e-03
150           	4.706541e-02	3.056750e-03	7.215100e-03	3.918822e-03	3.914362e-03	3.294436e-03	2.241176e-03
151           	4.544587e-02	3.015863e-03	7.147097e-03	3.884943e-03	3.880722e-03	3.269899e-03	2.245161e-03
152           	4.229506e-02	2.994316e-03	7.131599e-03	3.851575e-03	3.847588e-03	3.246951e-03	2.261123e-03
153           	4.132716e-02	2.979308e-03	7.187434e-03	3.818704e-03	3.814948e-03	3.225728e-03	2.275158e-03
154           	4.061415e-02	2.963752e-03	7.235094e-03	3.786320e-03	3.782796e-03	3.205880e-03	2.289353e-03
155           	4.168556e-02	2.944519e-03	7.266529e-03	3.754438e-03	3.751126e-03	3.187716e-03	2.287143e-03
156           	4.187960e-02	2.923552e-03	7.280568e-03	3.723030e-03	3.719929e-03	3.171028e-03	2.316478e-03
157           	4.389343e-02	2.894302e-03	7.239250e-03	3.692091e-03	3.689194e-03	3.155532e-03	2.356067e-03
158           	4.310656e-02	2.869482e-03	7.198951e-03	3.661595e-03	3.658912e-03	3.141552e-03	2.389793e-03
159           	4.247189e-02	2.840713e-03	7.146135e-03	3.631537e-03	3.629075e-03	3.128983e-03	2.432283e-03
160           	3.972017e-02	2.810949e-03	7.098453e-03	3.601920e-03	3.599677e-03	3.117705e-03	2.495650e-03
161           	3.945213e-02	2.773117e-03	7.033911e-03	3.572733e-03	3.570706e-03	3.108263e-03	2.558623e-03
162           	3.814105e-02	2.745968e-03	7.000097e-03	3.543967e-03	3.542160e-03	3.100186e-03	2.611697e-03
163           	3.905340e-02	2.700773e-03	6.902709e-03	3.515625e-03	3.514028e-03	3.093468e-03	2.676412e-03
164           	3.877234e-02	2.671535e-03	6.832319e-03	3.487678e-03	3.486303e-03	3.089968e-03	2.723817e-03
165           	3.748430e-02	2.628781e-03	6.753133e-03	3.460127e-03	3.458979e-03	3.088242e-03	2.771156e-03
166           	3.530474e-02	2.593323e-03	6.653251e-03	3.432969e-03	3.432051e-03	3.089059e-03	2.847533e-03
167           	3.567406e-02	2.554781e-03	6.548100e-03	3.406201e-03	3.405510e-03	3.091210e-03	2.905230e-03
168           	3.670375e-02	2.527814e-03	6.447888e-03	3.379806e-03	3.379349e-03	3.094158e-03	2.975862e-03
169           	3.720037e-02	2.514740e-03	6.387137e-03	3.353780e-03	3.353560e-03	3.098239e-03	3.049372e-03
170           	3.887385e-02	2.503255e-03	6.363484e-03	3.328115e-03	3.328134e-03	3.104068e-03	3.146125e-03
171           	4.071961e-02	2.521438e-03	6.401446e-03	3.302817e-03	3.303066e-03	3.109633e-03	3.246283e-03
172           	4.074264e-02	2.528629e-03	6.468712e-03	3.277875e-03	3.278351e-03	3.116158e-03	3.331831e-03
173           	4.313721e-02	2.548289e-03	6.491056e-03	3.253289e-03	3.253980e-03	3.120967e-03	3.411020e-03
174           	4.393560e-02	2.572820e-03	6.547725e-03	3.229063e-03	3.229939e-03	3.125608e-03	3.495971e-03
175           	4.534907e-02	2.599558e-03	6.618161e-03	3.205161e-03	3.206221e-03	3.127964e-03	3.553690e-03
176           	4.600434e-02	2.650292e-03	6.678727e-03	3.181574e-03	3.182825e-03	3.127262e-03	3.647266e-03
177           	4.728575e-02	2.696314e-03	6.705041e-03	3.158295e-03	3.159746e-03	3.124625e-03	3.720886e-03
178           	5.137822e-02	2.749694e-03	6.697598e-03	3.135296e-03	3.136972e-03	3.117152e-03	3.720450e-03
179           	5.086892e-02	2.789316e-03	6.653761e-03	3.112559e-03	3.114503e-03	3.104228e-03	3.751508e-03
180           	5.257693e-02	2.812665e-03	6.512632e-03	3.090128e-03	3.092322e-03	3.085710e-03	3.752273e-03
181           	5.209328e-02	2.823433e-03	6.308394e-03	3.067975e-03	3.070419e-03	3.060328e-03	3.711812e-03
182           	5.335677e-02	2.855758e-03	6.201081e-03	3.046128e-03	3.048786e-03	3.030035e-03	3.664795e-03
183           	5.334191e-02	2.884741e-03	6.144115e-03	3.024612e-03	3.027428e-03	2.994855e-03	3.600581e-03
184           	5.529330e-02	2.880333e-03	5.960405e-03	3.003355e-03	3.006339e-03	2.955269e-03	3.548148e-03
